path,filename,size_bytes,mtime_utc,data_category,modality,inferred_subset,inferred_sample,extension,is_archive,is_large,include_in_git,reason,notes
/data/zhutao/darlin_data/.snakemake/log/2026-03-16T083332.650856.snakemake.log,2026-03-16T083332.650856.snakemake.log,441,2026-03-16T08:33:34Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,unknown,.log,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/.snakemake/log/2026-03-16T083636.696744.snakemake.log,2026-03-16T083636.696744.snakemake.log,3289,2026-03-16T08:36:40Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,unknown,.log,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/.snakemake/metadata/REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzEwL01QUC9EQVJMSU5fYW5hbHlzaXMuZG9uZQ==,REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzEwL01QUC9EQVJMSU5fYW5hbHlzaXMuZG9uZQ==,3212,2026-03-16T08:36:40Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,unknown,<none>,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/.snakemake/metadata/REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzEwL0hTQy9EQVJMSU5fYW5hbHlzaXMuZG9uZQ==,REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzEwL0hTQy9EQVJMSU5fYW5hbHlzaXMuZG9uZQ==,3212,2026-03-16T08:36:40Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,unknown,<none>,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/.snakemake/metadata/REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzMvSFNDL0RBUkxJTl9hbmFseXNpcy5kb25l,REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzMvSFNDL0RBUkxJTl9hbmFseXNpcy5kb25l,3211,2026-03-16T08:36:40Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,unknown,<none>,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/.snakemake/metadata/REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzMvTVBQL0RBUkxJTl9hbmFseXNpcy5kb25l,REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzMvTVBQL0RBUkxJTl9hbmFseXNpcy5kb25l,3212,2026-03-16T08:36:40Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,unknown,<none>,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/DARLIN/results_cutoff_override_10/HSC/DARLIN_analysis.done,DARLIN_analysis.done,0,2026-03-16T08:36:40Z,processed clone/barcode output,DARLIN pipeline status flag,HSC_MPP_darlin_test_or_legacy_run,HSC,.done,false,false,false,external data/reference/log; keep out of Git,done flag only; no clone table by itself
/data/zhutao/darlin_data/DARLIN/results_cutoff_override_10/MPP/DARLIN_analysis.done,DARLIN_analysis.done,0,2026-03-16T08:36:40Z,processed clone/barcode output,DARLIN pipeline status flag,HSC_MPP_darlin_test_or_legacy_run,MPP,.done,false,false,false,external data/reference/log; keep out of Git,done flag only; no clone table by itself
/data/zhutao/darlin_data/DARLIN/results_cutoff_override_3/HSC/DARLIN_analysis.done,DARLIN_analysis.done,0,2026-03-16T08:36:40Z,processed clone/barcode output,DARLIN pipeline status flag,HSC_MPP_darlin_test_or_legacy_run,HSC,.done,false,false,false,external data/reference/log; keep out of Git,done flag only; no clone table by itself
/data/zhutao/darlin_data/DARLIN/results_cutoff_override_3/MPP/DARLIN_analysis.done,DARLIN_analysis.done,0,2026-03-16T08:36:40Z,processed clone/barcode output,DARLIN pipeline status flag,HSC_MPP_darlin_test_or_legacy_run,MPP,.done,false,false,false,external data/reference/log; keep out of Git,done flag only; no clone table by itself
/data/zhutao/darlin_data/config.yaml,config.yaml,248,2026-03-16T08:16:17Z,metadata / sample sheet,sample/run metadata,HSC_MPP_darlin_test_or_legacy_run,unknown,.yaml,false,false,false,external data/reference/log; keep out of Git,lightweight metadata or sample sheet candidate
/data/zhutao/darlin_data/raw_fastq/HSC_R1.fastq.gz,HSC_R1.fastq.gz,8844765,2024-03-27T19:56:47Z,DARLIN barcode raw reads,DARLIN barcode / clone evidence,HSC_MPP_darlin_test_or_legacy_run,HSC,.fastq.gz,false,false,false,external data/reference/log; keep out of Git,paired FASTQ candidate; not preprocessed
/data/zhutao/darlin_data/raw_fastq/HSC_R2.fastq.gz,HSC_R2.fastq.gz,6826800,2024-03-27T19:56:49Z,DARLIN barcode raw reads,DARLIN barcode / clone evidence,HSC_MPP_darlin_test_or_legacy_run,HSC,.fastq.gz,false,false,false,external data/reference/log; keep out of Git,paired FASTQ candidate; not preprocessed
/data/zhutao/darlin_data/raw_fastq/MPP_R1.fastq.gz,MPP_R1.fastq.gz,18328087,2024-03-22T16:47:04Z,DARLIN barcode raw reads,DARLIN barcode / clone evidence,HSC_MPP_darlin_test_or_legacy_run,MPP,.fastq.gz,false,false,false,external data/reference/log; keep out of Git,paired FASTQ candidate; not preprocessed
/data/zhutao/darlin_data/raw_fastq/MPP_R2.fastq.gz,MPP_R2.fastq.gz,13700907,2024-03-22T16:48:27Z,DARLIN barcode raw reads,DARLIN barcode / clone evidence,HSC_MPP_darlin_test_or_legacy_run,MPP,.fastq.gz,false,false,false,external data/reference/log; keep out of Git,paired FASTQ candidate; not preprocessed
/data/zhutao/darlin_data/sra/SRR26453523/SRR26453523.sra.lock,SRR26453523.sra.lock,0,2026-03-16T08:17:08Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,SRR26453523,.lock,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/sra/SRR26453523/SRR26453523.sra.prf,SRR26453523.sra.prf,0,2026-03-16T08:17:08Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,SRR26453523,.prf,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/darlin_data/sra/SRR26453523/SRR26453523.sra.tmp,SRR26453523.sra.tmp,0,2026-03-16T08:17:08Z,unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,SRR26453523,.tmp,false,false,false,external data/reference/log; keep out of Git,role not inferable from lightweight inventory
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AAbnormal.txt,AAbnormal.txt,228,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/ADebug.txt,ADebug.txt,82498229,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AError.txt,AError.txt,19127,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AFluid.txt,AFluid.txt,350604,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AFocus.txt,AFocus.txt,5334081,2026-05-06T05:37:18Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AInfo.txt,AInfo.txt,65764,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/APerformance.csv,APerformance.csv,43177,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.csv,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AQuality.txt,AQuality.txt,45023048,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/ASalusCall.csv,ASalusCall.csv,1657,2026-05-06T05:37:18Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.csv,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AStage.txt,AStage.txt,18436142,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/ATemperature.csv,ATemperature.csv,3736998,2026-05-06T05:37:19Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.csv,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/RunInfo.xml,RunInfo.xml,2070,2026-05-06T05:37:18Z,metadata / sample sheet,sample/run metadata,Salus_spatial_BC_delivery_031319A,unknown,.xml,false,false,false,external data/reference/log; keep out of Git,lightweight metadata or sample sheet candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/saluscallOutput.txt,saluscallOutput.txt,85394773,2026-05-06T05:37:18Z,metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,unknown,.txt,false,false,false,external data/reference/log; keep out of Git,small text/table metadata candidate
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C026.html,R001C026.html,361040,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C028.html,R001C028.html,361034,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C035.html,R001C035.html,361093,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C054.html,R001C054.html,361034,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C057.html,R001C057.html,361087,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C080.html,R001C080.html,361045,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C082.html,R001C082.html,360996,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C097.html,R001C097.html,361092,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C028.html,R002C028.html,361081,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C038.html,R002C038.html,361070,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C040.html,R002C040.html,361084,2026-05-06T05:37:27Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C068.html,R002C068.html,361034,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C069.html,R002C069.html,361004,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C087.html,R002C087.html,361033,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C094.html,R002C094.html,361029,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C097.html,R002C097.html,361055,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R002C122.html,R002C122.html,361059,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C008.html,R003C008.html,360944,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C073.html,R003C073.html,360971,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C085.html,R003C085.html,360927,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C099.html,R003C099.html,360923,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C107.html,R003C107.html,361036,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C120.html,R003C120.html,361097,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C125.html,R003C125.html,361068,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R003C128.html,R003C128.html,361160,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C004.html,R004C004.html,361122,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C024.html,R004C024.html,361091,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C065.html,R004C065.html,361035,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C074.html,R004C074.html,361086,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C081.html,R004C081.html,361031,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C085.html,R004C085.html,360998,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C094.html,R004C094.html,361010,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C109.html,R004C109.html,360949,2026-05-06T05:37:26Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R004C128.html,R004C128.html,361120,2026-05-06T05:37:27Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R005C031.html,R005C031.html,361073,2026-05-06T05:37:27Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R005C074.html,R005C074.html,361040,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R005C118.html,R005C118.html,360974,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R005C120.html,R005C120.html,361060,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R005C122.html,R005C122.html,361086,2026-05-06T05:37:27Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R006C055.html,R006C055.html,361030,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R006C081.html,R006C081.html,360980,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R006C084.html,R006C084.html,360971,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R006C110.html,R006C110.html,360962,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R006C111.html,R006C111.html,360980,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R007C019.html,R007C019.html,361076,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R007C039.html,R007C039.html,361055,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R007C044.html,R007C044.html,361023,2026-05-06T05:37:23Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R007C113.html,R007C113.html,360941,2026-05-06T05:37:25Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R007C117.html,R007C117.html,360966,2026-05-06T05:37:24Z,logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,unknown,.html,false,false,false,external data/reference/log; keep out of Git,sequencing/QC report artifact
