path,file_type,size_bytes,row_count_if_known,detected_columns,detected_key_terms,contains_barcode_id,contains_spot_id,contains_tile_or_fov,contains_x_y,contains_row_col,contains_coordinate_like_fields,contains_sample_or_tissue_label,useful_for_spot_table,useful_for_coordinate_table,interpretation,notes
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/SalusCallFile/ListTable.csv","csv_numeric_no_header","35534","2 rows x 1821 fields","no header; numeric fields only","1821_fields;14x130_plus_1;monotonic_numeric_vectors","false","false","uncertain","false","implicit_grid_candidate","uncertain","false","false","candidate_after_contract","likely tile/FOV offset or spatial-structure table; not a spot table","Two rows may correspond to BC LaneNum=2 but local files do not define semantics."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/RunInfo.xml","xml","2070","not_applicable","SeqMode;R1Len;R1LenShow;IndexLen;LaneNum;CycleNumShow;RowMax;ColumnMax;Prefix;IndexFile;Split;SampleType","CustomSeq;LaneNum=2;CycleNumShow=30;RowMax=14;ColumnMax=130;IndexLen=0;Prefix=0313_19A_BC","false","false","true","false","true","true","false","false","candidate_after_contract","runtime metadata supports grid dimensions but no spot/sample labels","IndexFile=NULL and Split=0 for lanes inspected."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AInfo.txt","runtime_log","65764","sampled_first_lines","mBasePara.nStrExpName;mBasePara.sSeqMode;mBasePara.imgPara.nRowPerChl;mBasePara.imgPara.nColPerChl;mBasePara.nStepX;mBasePara.nStepY","0313_19A_BC;CustomSeq;nRowPerChl=14;nColPerChl=130;nStepX=429.6;nStepY=709.8","false","false","true","true","true","true","false","false","candidate_after_contract","contains imaging geometry but no coordinate origin/orientation or spot IDs","Useful only with Salus coordinate convention."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R###C###.html","html_report_set","about 361000 each; 94 files","94 html reports observed","filename encodes R###C###; HTML title Analysis Report; reportTitle=FOV","FOV;R###C###;QC visualization","false","false","true","false","true","uncertain","false","false","candidate_after_contract","FOV QC reports expose row/column-like filenames but not biological spot/sample mapping","Exact words Brain/Pancreas/sample/barcode not found in representative reports."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/ASalusCall.csv","runtime_qc_csv","1657","header plus sampled rows","Time;Lane1;Lane2;Lane3;Lane4;Sum","lane counts over time","false","false","false","false","false","false","false","false","false","SalusCall runtime count log; not a coordinate table","Useful for QC only."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/APerformance.csv","runtime_qc_csv","43177","header plus sampled rows","tag;cout;max(s);min(s);avg(s);detail_list(s)","CycleTime;fov_count;focus;Read1_action_time","false","false","true","false","false","false","false","false","false","runtime performance and FOV QC metrics; not a spot table","Contains FOV-related metric names but no spot/barcode mapping."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AError.txt","runtime_error_log","19127","sampled_first_lines","free_text_error_lines","Cycle;Lane;Fov;focus","false","false","true","false","false","false","false","false","false","runtime error/focus log; not a coordinate table","Useful for QC provenance only."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AAbnormal.txt","runtime_qc_log","228","2 lines","free_text_status_lines","monitor_status;environment_temperature","false","false","false","false","false","false","false","false","false","runtime status log only","No spatial or sample mapping content."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/SalusCallFile/log.txt","saluscall_runtime_log","88220903","sampled_first_lines_only","free_text_runtime_log","read1Len=31;read1ShowLen=30;index1Len=0;index2Len=0;basecall begin","false","false","false","false","false","false","false","false","false","runtime basecall log; not opened fully","Large file sampled only at beginning."
"/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/SalusCallFile/uuid.txt","uuid_text","38","1 line","uuid","run_uuid","false","false","false","false","false","false","false","false","false","run identifier only","No mapping content."
