structure_id,structure_type,barcode_window_1based_inclusive,umi_window_1based_inclusive,python_barcode_slice_0based_half_open,python_umi_slice_0based_half_open,overlap_bp,records_parsed,barcode_unique_count,barcode_duplication_rate,top1_fraction,top10_fraction,umi_unique_count,umi_duplication_rate,barcode_umi_pair_count,n_rate,lane_cv,cross_lane_overlap,top_sequences_sha256_12,decision,notes
NONOVERLAP_R1_BC1_8_UMI9_20,nonoverlap_candidate,R1:1-8,R1:9-20,seq[0:8],seq[8:20],0,400000,58904,0.85274,0.003615,0.0092425,369936,0.07516,387124,6.04e-06,0.05694124,0.09832417,c76b6dbcbe54:1446;e5c338fe7355:712;fd305b063bd2:633;c34ab6abb7b2:186;df61c006f8cc:183;1e9935a97743:122;65f1a9adca41:121;75b8198a378a:107;c8184d3002cf:95;8ef92c01d3c0:92,candidate_parser_needs_whitelist_coordinate,Candidate non-overlapping parser structure.
NONOVERLAP_R1_BC1_10_UMI11_22,nonoverlap_candidate,R1:1-10,R1:11-22,seq[0:10],seq[10:22],0,400000,293031,0.2674225,0.00349,0.0083375,367537,0.0811575,387500,8.54e-06,0.0067801,0.21800697,9c90b493e63b:1396;b9694dbe3980:573;742ee7479463:540;1d65bf29403e:176;813c8bbf65c2:165;33f69ce86f13:114;bbb1567fe206:103;b1b802db2c1a:95;9f545e1fd990:89;b4fc2157e3fe:84,weak_candidate_needs_chemistry_contract,Candidate non-overlapping parser structure.
NONOVERLAP_R1_BC1_12_UMI13_24,nonoverlap_candidate,R1:1-12,R1:13-24,seq[0:12],seq[12:24],0,400000,377940,0.05515,0.0034175,0.0079725,365116,0.08721,387840,9.58e-06,0.00107697,0.28341239,4f0a9ea1b3bc:1367;e20a626bef69:531;b6bda778b721:501;0592cedeabbf:172;a96f413f6500:163;1b2559b18a5b:102;6eda3f927b3b:93;37fa34cfb974:89;d7783bab3acd:87;fd122a98fc50:84,weak_candidate_needs_chemistry_contract,Candidate non-overlapping parser structure.
NONOVERLAP_R1_BC1_14_UMI15_30,nonoverlap_candidate,R1:1-14,R1:15-30,seq[0:14],seq[14:30],0,400000,385349,0.0366275,0.003355,0.00776,369007,0.0774825,388943,1.25e-05,0.00139902,0.27674818,2cf629622888:1342;5de3e9c3d50f:530;8068c70d02b8:450;14f99c4b0a64:169;a22e834a6bd1:162;ecb8247d6627:101;73f12c06af04:93;264c187e526e:88;e58930533866:87;66753936de96:82,weak_candidate_needs_chemistry_contract,Candidate non-overlapping parser structure.
NONOVERLAP_R1_BC1_16_UMI17_30,nonoverlap_candidate,R1:1-16,R1:17-30,seq[0:16],seq[16:30],0,400000,386265,0.0343375,0.0032275,0.0075375,365751,0.0856225,388943,1.375e-05,0.00149081,0.28236462,84340b0ccd20:1291;5788754c77b2:527;df3d26a75161:424;991204fba2b6:167;40186ec7b02f:162;b70123ce8626:100;91e04444495d:93;7b135e554875:88;3cc77ef24b72:85;0e9fe454809b:78,weak_candidate_needs_chemistry_contract,Candidate non-overlapping parser structure.
NONOVERLAP_R1_BC8_18_UMI19_30,nonoverlap_candidate,R1:8-18,R1:19-30,seq[7:18],seq[18:30],0,400000,357368,0.10658,0.00362,0.018615,358435,0.1039125,378683,1.5e-05,0.00202704,0.60938005,19ac376fee1a:1448;7c99f05cb99d:1353;b2297ebe15ba:1116;a54cdc176bbe:789;8a02be0f33ae:710;2c2541730c2b:684;dd2008891903:458;be20367ced14:337;25094e443f44:291;b1780fc777cd:260,weak_candidate_needs_chemistry_contract,Candidate non-overlapping parser structure.
NONOVERLAP_R1_BC10_20_UMI21_30,nonoverlap_candidate,R1:10-20,R1:21-30,seq[9:20],seq[20:30],0,400000,355266,0.111835,0.00654,0.025645,299370,0.251575,376085,1.6e-05,0.00273432,0.53885067,19ac376fee1a:2616;b2297ebe15ba:1437;8d545df7f9c1:1322;f792f2e93944:1114;8a02be0f33ae:787;49aabc4290c6:731;a54cdc176bbe:706;2c5f481d87df:705;dd2008891903:486;be20367ced14:354,weak_candidate_needs_chemistry_contract,Candidate non-overlapping parser structure.
NEGCTRL_R1_31_40,negative_control,R1:31-40,NA,seq[30:40],NA,0,400000,30913,0.9227175,0.567885,0.7002,0,0.0,0,4e-05,0.02215782,0.88118833,4c96ba80b206:227154;b90e831424b9:20896;2dd3dca40e8f:11852;c6fefcfdc0bf:4180;a48e0ac5312e:4059;990efdb2c5a3:2608;0bcc752ad67c:2525;33d3aa9ce2bd:2500;8a675c74985c:2395;dd34db4b1324:1911,negative_control_not_parser,Negative control not eligible as final parser.
NEGCTRL_R1_41_60,negative_control,R1:41-60,NA,seq[40:60],NA,0,400000,53770,0.865575,0.4494125,0.59076,0,0.0,0,4.913e-05,0.02817356,0.92630724,5a7acf6ec9d6:179765;5caab7ecd5ad:18966;96041fc4a176:10839;3701666ac338:8617;37ae947f6014:4139;b062169002b7:4054;1ae7c0620b15:2668;0d1a4616df85:2493;f6ef630e436f:2436;6a6fa4e2b431:2327,negative_control_not_parser,Negative control not eligible as final parser.
NEGCTRL_R1_61_80,negative_control,R1:61-80,NA,seq[60:80],NA,0,400000,61815,0.8454625,0.3854675,0.5447425,0,0.0,0,0.00013962,0.02719157,0.89589075,8b5431f6d7c1:154187;cdf4c5f0f908:19191;c806b8ad95ac:13688;f4c06d23151d:6112;b3eb48003f68:5508;fb4963b5e942:5032;faf11a1a4e68:4034;2ea5a1822e07:3701;c905ec13674f:3663;2f9edd11a353:2781,negative_control_not_parser,Negative control not eligible as final parser.
