path	file_type	legacy_milestone	production_module_category	include_in_commit	reason	file_size	safe_for_github
README.md	doc		Legacy or experimental branches	yes	approved PlanA-ST-only module reorg file	6611	yes
docs/darlin/darlin_00_data_inventory.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	8014	no
docs/darlin/darlin_00c_data_relationship_resolution.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	1811	no
docs/darlin/darlin_00c_first_development_route_recommendation.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	1056	no
docs/darlin/darlin_00d_provider_confirmed_e1_route.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	2364	no
docs/darlin/darlin_00d_sailu_document_audit.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	2969	no
docs/darlin/darlin_00d_updated_first_round_plan.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	2408	no
docs/darlin/darlin_01a_bc_spatial_barcode_audit.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	8070	no
docs/darlin/darlin_01a_bc_st_split_feasibility.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	3008	no
docs/darlin/darlin_01a_e1_integration_matching_contract.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	1564	no
docs/darlin/darlin_01a_official_darlin_dryrun_plan.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	1964	no
docs/darlin/darlin_01a_sailu_e1_st_processing_plan.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	1699	no
docs/darlin/darlin_01b_cfg_type_template_review.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	2542	no
docs/darlin/darlin_01b_dependency_resolution.md	doc	DARLIN/barcode	DARLIN/barcode integration, to exclude from this ST-only freeze	no	DARLIN/barcode evidence excluded from ST-only freeze	2007	no
